R,G,B,occurence,c_code,c_name
186,221,227,55540,#BADDE3,~powderblue
62,93,59,46217,#3E5D3B,~darkslategray
215,201,172,40266,#D7C9AC,~silver
94,177,231,35506,#5EB1E7,~cornflowerblue
121,199,237,17966,#79C7ED,~skyblue
39,57,45,17821,#27392D,~darkslategray
82,177,181,17250,#52B1B5,~cadetblue
138,205,214,13041,#8ACDD6,~skyblue
181,180,160,12521,#B5B4A0,~darkgray
162,208,231,10602,#A2D0E7,~lightblue
49,107,67,9603,#316B43,~darkslategray
208,193,186,9559,#D0C1BA,~silver
81,121,61,6726,#51793D,~darkolivegreen
112,98,71,6005,#706247,~dimgray
105,127,114,4741,#697F72,~dimgray
160,182,179,3828,#A0B6B3,~darkgray
186,51,57,3727,#BA3339,~brown
103,146,75,3644,#67924B,~olivedrab
90,201,220,3503,#5AC9DC,~mediumturquoise
108,206,181,3388,#6CCEB5,~mediumaquamarine
132,153,138,3097,#84998A,~lightslategray
61,52,45,3062,#3D342D,~darkslategray
45,73,50,2451,#2D4932,~darkslategray
212,215,198,2006,#D4D7C6,~lightgray
83,77,51,1995,#534D33,~darkolivegreen
89,108,62,1902,#596C3E,~darkolivegreen
138,90,76,1877,#8A5A4C,~sienna
96,47,43,1873,#602F2B,~saddlebrown
85,151,137,1859,#559789,~cadetblue
100,74,51,1591,#644A33,~darkolivegreen
77,150,79,1522,#4D964F,~seagreen
123,173,86,1302,#7BAD56,~yellowgreen
134,50,50,1254,#863232,~brown
50,123,70,1236,#327B46,~seagreen
115,114,120,1231,#737278,~dimgray
230,85,92,1231,#E6555C,~indianred
145,77,64,1105,#914D40,~sienna
134,120,83,996,#867853,~dimgray
183,217,192,874,#B7D9C0,~silver
186,162,126,843,#BAA27E,~rosybrown
141,214,203,772,#8DD6CB,~skyblue
153,113,87,735,#997157,~gray
68,149,212,603,#4495D4,~steelblue
88,59,53,577,#583B35,~darkolivegreen
199,107,84,528,#C76B54,~indianred
154,45,50,517,#9A2D32,~brown
159,152,133,499,#9F9885,~rosybrown
82,155,112,489,#529B70,~mediumseagreen
83,132,87,468,#538457,~seagreen
146,196,169,438,#92C4A9,~darkseagreen
108,133,103,423,#6C8567,~dimgray
129,184,181,394,#81B8B5,~mediumaquamarine
75,76,70,390,#4B4C46,~darkslategray
189,190,148,344,#BDBE94,~tan
33,43,44,303,#212B2C,~darkslategray
68,175,147,277,#44AF93,~cadetblue
179,135,90,276,#B3875A,~peru
195,166,150,252,#C3A696,~tan
215,215,217,243,#D7D7D9,~gainsboro
231,170,175,237,#E7AAAF,~lightpink
134,171,127,236,#86AB7F,~darkseagreen
62,96,79,229,#3E604F,~darkslategray
151,157,157,220,#979D9D,~darkgray
120,90,88,218,#785A58,~dimgray
100,144,145,217,#649091,~slategray
217,113,114,194,#D97172,~lightcoral
79,173,209,190,#4FADD1,~mediumturquoise
84,172,85,187,#54AC55,~mediumseagreen
227,230,185,181,#E3E6B9,~palegoldenrod
121,130,83,171,#798253,~dimgray
70,170,116,154,#46AA74,~mediumseagreen
188,61,78,137,#BC3D4E,~indianred
158,69,51,132,#9E4533,~sienna
92,203,197,128,#5CCBC5,~mediumturquoise
230,188,164,121,#E6BCA4,~burlywood
63,121,99,117,#3F7963,~seagreen
172,109,92,112,#AC6D5C,~indianred
54,92,41,111,#365C29,~darkolivegreen
128,144,71,109,#809047,~olivedrab
44,70,31,104,#2C461F,~darkslategray
99,87,45,103,#63572D,~darkolivegreen
114,67,49,102,#724331,~saddlebrown
205,87,73,101,#CD5749,~indianred
125,180,200,95,#7DB4C8,~skyblue
192,176,186,87,#C0B0BA,~silver
137,173,103,82,#89AD67,~darkseagreen
104,52,64,76,#683440,~saddlebrown
185,138,112,71,#B98A70,~rosybrown
133,113,102,70,#857166,~dimgray
198,172,113,68,#C6AC71,~darkkhaki
214,131,127,68,#D6837F,~lightcoral
90,100,75,64,#5A644B,~darkolivegreen
160,75,82,63,#A04B52,~sienna
65,35,33,62,#412321,~darkslategray
162,195,106,61,#A2C36A,~darkkhaki
213,150,135,60,#D59687,~darksalmon
126,87,48,56,#7E5730,~sienna
103,33,35,51,#672123,~saddlebrown
135,113,160,50,#8771A0,~lightslategray
142,191,84,45,#8EBF54,~yellowgreen
149,160,100,45,#95A064,~darkkhaki
81,83,95,44,#51535F,~dimgray
40,41,25,38,#282919,~black
125,61,61,37,#7D3D3D,~sienna
59,49,58,36,#3B313A,~darkslategray
169,174,203,36,#A9AECB,~lightsteelblue
26,86,58,34,#1A563A,~darkslategray
108,61,97,31,#6C3D61,~dimgray
183,108,112,30,#B76C70,~indianred
248,162,165,29,#F8A2A5,~lightpink
181,193,205,28,#B5C1CD,~silver
66,47,17,27,#422F11,~darkolivegreen
192,144,142,27,#C0908E,~rosybrown
116,177,118,25,#74B176,~darkseagreen
239,195,196,25,#EFC3C4,~pink
145,86,92,25,#91565C,~dimgray
254,118,122,23,#FE767A,~salmon
126,99,114,23,#7E6372,~dimgray
59,105,103,23,#3B6967,~darkslategray
167,196,152,21,#A7C498,~darkseagreen
156,179,151,19,#9CB397,~darkseagreen
118,184,146,19,#76B892,~darkseagreen
210,62,58,19,#D23E3A,~crimson
103,82,113,19,#675271,~dimgray
165,114,147,19,#A57293,~rosybrown
142,137,160,18,#8E89A0,~lightslategray
115,85,135,18,#735587,~dimgray
209,162,116,17,#D1A274,~darksalmon
180,64,41,16,#B44029,~brown
55,81,78,16,#37514E,~darkslategray
235,116,136,16,#EB7488,~lightcoral
26,140,68,16,#1A8C44,~seagreen
119,165,139,15,#77A58B,~lightslategray
54,190,150,15,#36BE96,~lightseagreen
166,108,122,15,#A66C7A,~gray
110,47,76,15,#6E2F4C,~brown
255,231,223,14,#FFE7DF,~mistyrose
158,154,204,14,#9E9ACC,~darkgray
136,51,70,13,#883346,~brown
100,130,42,13,#64822A,~olivedrab
35,120,115,12,#237873,~seagreen
101,68,87,12,#654457,~dimgray
53,60,29,12,#353C1D,~darkslategray
225,243,243,11,#E1F3F3,~lavender
148,82,50,11,#945232,~sienna
157,134,144,11,#9D8690,~rosybrown
255,193,180,11,#FFC1B4,~lightpink
195,124,94,10,#C37C5E,~indianred
20,42,21,10,#142A15,~black
193,156,173,10,#C19CAD,~darkgray
196,240,227,9,#C4F0E3,~paleturquoise
120,20,28,9,#78141C,~maroon
111,133,147,9,#6F8593,~slategray
144,148,113,8,#909471,~gray
35,26,29,8,#231A1D,~black
40,137,117,8,#288975,~seagreen
186,83,84,8,#BA5354,~indianred
213,126,142,8,#D57E8E,~palevioletred
65,96,26,8,#41601A,~darkolivegreen
57,138,183,8,#398AB7,~steelblue
83,26,43,7,#531A2B,~maroon
59,175,104,7,#3BAF68,~mediumseagreen
134,160,175,7,#86A0AF,~lightslategray
163,136,127,6,#A3887F,~rosybrown
109,106,51,6,#6D6A33,~darkolivegreen
68,150,161,5,#4496A1,~steelblue
104,181,163,5,#68B5A3,~cadetblue
148,40,27,5,#94281B,~brown
250,169,150,5,#FAA996,~lightsalmon
36,126,91,5,#247E5B,~seagreen
72,79,35,5,#484F23,~darkolivegreen
225,52,72,5,#E13448,~crimson
87,100,93,5,#57645D,~dimgray
225,221,157,4,#E1DD9D,~palegoldenrod
44,158,150,4,#2C9E96,~lightseagreen
136,74,97,4,#884A61,~dimgray
166,180,103,4,#A6B467,~darkkhaki
232,205,160,3,#E8CDA0,~wheat
78,41,15,3,#4E290F,~maroon
148,203,145,3,#94CB91,~darkseagreen
17,112,46,3,#11702E,~forestgreen
200,97,116,3,#C86174,~indianred
114,120,156,3,#72789C,~slategray
118,189,113,3,#76BD71,~darkseagreen
142,163,72,3,#8EA348,~yellowgreen
165,106,64,2,#A56A40,~sienna
117,220,175,2,#75DCAF,~mediumaquamarine
114,47,31,2,#722F1F,~saddlebrown
163,236,242,2,#A3ECF2,~paleturquoise
118,148,94,2,#76945E,~gray
210,142,165,2,#D28EA5,~rosybrown
216,90,104,2,#D85A68,~indianred
102,160,57,2,#66A039,~olivedrab
19,22,13,2,#13160D,~black
65,97,108,2,#41616C,~darkslategray
218,150,103,2,#DA9667,~darksalmon
223,215,236,1,#DFD7EC,~gainsboro
155,48,68,1,#9B3044,~brown
92,73,77,1,#5C494D,~dimgray
119,94,38,1,#775E26,~saddlebrown
162,141,94,1,#A28D5E,~gray
246,143,138,1,#F68F8A,~lightcoral
166,29,23,1,#A61D17,~firebrick
78,44,58,1,#4E2C3A,~darkslategray
34,63,71,1,#223F47,~darkslategray
79,156,236,1,#4F9CEC,~cornflowerblue
